word	word_ar	lemma	lemma_ar	pos	stem	gloss	root	root_ar	pattern	pattern_ar	freq_word	freq_lem	freq_root	freq_ptrn
muqad~asN	مُقَدَّسٌ	muqad~as_1	مُقَدَّسـ1	adj	muqad~as	holy;sacred	q.d.s	ق.د.س	mufaE~al	مُفَعَّل	1595	42144	399713	2226315
Aiqotaraba	اِقْتَرَبَ	{iqotarab_1	ٱِقْتَرَبـ1	verb	{iqotarab	get_close_to;approach	q.r.b	ق.ر.ب	{ifotaEal	ٱِفْتَعَل	4263	25783	400771	2156523
HirAsatahu	حِراسَتَهُ	HirAsap_1	حِراسَةـ1	noun	HirAs	guard;escort;protection	H.r.s	ح.ر.س	fiEAlap	فِعالَة	179	16022	141158	1420370
manoEahum	مَنْعَهُم	manoE_1	مَنْعـ1	noun	manoE	prevention;interdiction	m.n.E	م.ن.ع	faEol	فَعْل	1577	134709	303173	14268861
Ald~uxuwli	الدُّخُولِ	duxuwl_1	دُخُولـ1	noun	duxuwl	entrance;penetration	d.x.l	د.خ.ل	fuEuwl	فُعُول	28529	157705	743525	2228842
bitamoziyqi	بِتَمْزِيقِ	tamoziyq_1	تَمْزِيقـ1	noun	tamoziyq	tearing;shredding	m.z.q	م.ز.ق	tafoEiyl	تَفْعِيل	244	3252	15549	6264512
numaz~iqu	نُمَزِّقُ	maz~aq_1	مَزَّقـ1	verb	maz~iq	tear_apart;rip_apart;shred	m.z.q	م.ز.ق	faE~al	فَعَّل	19	6404	15549	4031261
AiHotirAmAF	اِحْتِراماً	{iHotirAm_1	ٱِحْتِرامـ1	noun	{iHotirAm	respect;honoring	H.r.m	ح.ر.م	{ifotiEAl	ٱِفْتِعال	3586	93319	192311	3500448
Had~Ad	حَدّاد	Had~Ad_1	حَدّادـ1	noun_prop	Had~Ad	Haddad	H.d.d	ح.د.د	faE~Al	فَعّال	22722	23238	616515	1085004
taTobiyqi	تَطْبِيقِ	taTobiyq_1	تَطْبِيقـ1	noun	taTobiyq	application	T.b.q	ط.ب.ق	tafoEiyl	تَفْعِيل	60581	158760	294576	6264512
AlqAhirapi	القاهِرَةِ	qAhirap_1	قاهِرَةـ1	noun_prop	qAhir	Cairo	q.h.r	ق.ه.ر	fAEilap	فاعِلَة	161400	243596	260372	1364469
biAlt~anosiyqi	بِالتَّنْسِيقِ	tanosiyq_1	تَنْسِيقـ1	noun	tanosiyq	coordination;steering;systematic_arrangement	n.s.q	ن.س.ق	tafoEiyl	تَفْعِيل	10924	91335	135060	6264512
yuEAriDuwna	يُعارِضُونَ	EAraD_1	عارَضـ1	verb	EAriD	oppose;resist	E.r.D	ع.ر.ض	fAEal	فاعَل	4698	55564	910117	2170013
bi$id~apK	بِشِدَّةٍ	$id~ap_1	شِدَّةـ1	noun	$id~	intensity;forcefulness	$.d.d	ش.د.د	fiE~ap	فِعَّة	38545	49239	374397	1100025
taHota	تَحْتَ	taHota_1	تَحْتَـ1	noun	taHot	under	t.H.t	ت.ح.ت	faEol	فَعْل	224054	240412	279247	14268861
suloTapi	سُلْطَةِ	suloTap_1	سُلْطَةـ1	noun	suloT	power;authority;rule	s.l.T	س.ل.ط	fuEolap	فُعْلَة	17493	420738	435856	2077406
mirArAF	مِراراً	mirAr_1	مِرارـ1	noun	mirAr	times;occasions	m.r.r	م.ر.ر	fiEAl	فِعال	23240	23581	696367	4333985
wagaDibihim	وَغَضِبِهِم	gaDib_1	غَضِبـ1	adj	gaDib	irate;furious	g.D.b	غ.ض.ب	faEil	فَعِل	32	451	58051	327013
wanaZ~amuwA	وَنَظَّمُوا	naZ~am_1	نَظَّمـ1	verb	naZ~am	arrange;organize;regulate	n.Z.m	ن.ظ.م	faE~al	فَعَّل	352	111390	1190127	4031261
taZAhurAtN	تَظاهُراتٌ	taZAhurap_1	تَظاهُرَةـ1	noun	taZAhur	rally;demonstration	Z.h.r	ظ.ه.ر	tafAEulap	تَفاعُلَة	3979	75618	622412	75618
Eid~apN	عِدَّةٌ	Eid~ap_1	عِدَّةـ1	adj	Eid~	several;numerous;many	E.d.d	ع.د.د	fiE~ap	فِعَّة	21438	182623	1493498	1100025
Al$~uroTapa	الشُّرْطَةَ	$uroTap_1	شُرْطَةـ1	noun	$uroT	police	$.r.T	ش.ر.ط	fuEolap	فُعْلَة	23904	342615	486327	2077406
mar~apK	مَرَّةٍ	mar~ap_1	مَرَّةـ1	noun	mar~	occasion;time;moment	m.r.r	م.ر.ر	faE~ap	فَعَّة	50945	343647	696367	906556
bitaforiyqihim	بِتَفْرِيقِهِم	taforiyq_1	تَفْرِيقـ1	noun	taforiyq	separation;division	f.r.q	ف.ر.ق	tafoEiyl	تَفْعِيل	84	10124	245486	6264512
Almu$otarikiyna	المُشْتَرِكِينَ	mu$otarik_1	مُشْتَرِكـ1	noun	mu$otarik	participant;subscriber	$.r.k	ش.ر.ك	mufotaEil	مُفْتَعِل	18056	24752	1084812	575035
SanoEA'u	صَنْعاءُ	SanoEA'_1	صَنْعاءـ1	noun_prop	SanoEA'	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	فَعْلاء	2218	39476	432794	87874
AljAmiEapu	الجامِعَةُ	jAmiEap_1	جامِعَةـ1	noun	jAmiE	university	j.m.E	ج.م.ع	fAEilap	فاعِلَة	17278	305036	2198458	1364469
>usoTuwrapi	أُسْطُورَةِ	>usoTuwrap_1	أُسْطُورَةـ1	noun	>usoTuwr	myth;legend;tale	s.T.r	س.ط.ر	>ufoEuwlap	أُفْعُولَة	4090	12497	208620	28916
Almalikapi	المَلِكَةِ	malikap_1	مَلِكَةـ1	noun	malik	queen	m.l.k	م.ل.ك	faEilap	فَعِلَة	5933	27187	461824	727683
tuEAliju	تُعالِجُ	EAlaj_1	عالَجـ1	verb	EAlij	treat;deal_with;process	E.l.j	ع.ل.ج	fAEal	فاعَل	4328	22961	194499	2170013
Eaqodi	عَقْدِ	Eaqod_1	عَقْدـ1	noun	Eaqod	holding;concluding;convening	E.q.d	ع.ق.د	faEol	فَعْل	71650	214217	702208	14268861
AijotamaEa	اِجْتَمَعَ	{ijotamaE_1	ٱِجْتَمَعـ1	verb	{ijotamaE	meet;confer	j.m.E	ج.م.ع	{ifotaEal	ٱِفْتَعَل	22524	89812	2198458	2156523
taHodiydi	تَحْدِيدِ	taHodiyd_1	تَحْدِيدـ1	noun	taHodiyd	delimitation;specification;definition	H.d.d	ح.د.د	tafoEiyl	تَفْعِيل	46492	176331	616515	6264512
nahojK	نَهْجٍ	nahoj_1	نَهْجـ1	noun	nahoj	pursuing;following	n.h.j	ن.ه.ج	faEol	فَعْل	4085	34297	52919	14268861
liln~izAEi	لِلنِّزاعِ	nizAE_1	نِزاعـ1	noun	nizAE	conflict;struggle	n.z.E	ن.ز.ع	fiEAl	فِعال	8843	111235	240349	4333985
bimaqar~i	بِمَقَرِّ	maqar~_1	مَقَرّـ1	noun	maqar~	center;headquarters;residence	q.r.r	ق.ر.ر	mafaE~	مَفَعّ	3100	172114	1744500	264036
AlbiEovapi	البِعْثَةِ	baEovap_1	بَعْثَةـ1	noun	biEov	delegation;mission	b.E.v	ب.ع.ث	faEolap	فَعْلَة	11302	54990	143427	2411292
SaHAfiy~K	صَحافِيٍّ	SaHAfiy~_1	صَحافِيّـ1	adj	SaHAfiy~	journalistic;press	S.H.f	ص.ح.ف	faEAliy~	فَعالِيّ	74157	159022	766835	824387
<iEolAnK	إِعْلانٍ	<iEolAn_1	إِعْلانـ1	noun	<iEolAn	declaration;statement;announcement	E.l.n	ع.ل.ن	<ifoEAl	إِفْعال	3744	224962	1127300	2938055
naS~a	نَصَّ	naS~_1	نَصّـ1	noun	naS~	text	n.S.S	ن.ص.ص	faE~	فَعّ	6119	95039	121554	1659289
Al<iEolAni	الإِعْلانِ	<iEolAn_1	إِعْلانـ1	noun	<iEolAn	declaration;statement;announcement	E.l.n	ع.ل.ن	<ifoEAl	إِفْعال	28352	224962	1127300	2938055
AlEariyDapi	العَرِيضَةِ	EariyD_1	عَرِيضـ1	adj	EariyD	wide;broad	E.r.D	ع.ر.ض	faEiyl	فَعِيل	6189	23411	910117	6533870
tarotakiza	تَرْتَكِزَ	{irotakaz_1	ٱِرْتَكَزـ1	verb	rotakiz	be_focused;be_implanted	r.k.z	ر.ك.ز	{ifotaEal	ٱِفْتَعَل	5890	15565	716978	2156523
Als~ilomiy~api	السِّلْمِيَّةِ	silomiy~_1	سِلْمِيّـ1	adj	silomiy~	peaceful;pacifist	s.l.m	س.ل.م	fiEoliy~	فِعْلِيّ	35870	86317	2085587	1165647
yataDam~ana	يَتَضَمَّنَ	taDam~an_1	تَضَمَّنـ1	verb	taDam~an	guarantee;comprise;include	D.m.n	ض.م.ن	tafaE~al~	تَفَعَّلّ	2029	131715	403163	317661
taqosiyma	تَقْسِيمَ	taqosiym_1	تَقْسِيمـ1	noun	taqosiym	partition;division;distribution	q.s.m	ق.س.م	tafoEiyl	تَفْعِيل	2854	39716	168879	6264512
xuT~apa	خُطَّةَ	xuT~ap_1	خُطَّةـ1	noun	xuT~	plan;project	x.T.T	خ.ط.ط	fuE~ap	فُعَّة	14313	181772	266054	473337
manoHi	مَنْحِ	manoH_1	مَنْحـ1	noun	manoH	granting;bestowal;awarding	m.n.H	م.ن.ح	faEol	فَعْل	21020	62908	82276	14268861
Almusolimiyna	المُسْلِمِينَ	musolim_1	مُسْلِمـ1	noun	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	50206	200328	2085587	1009119
wamanoHi	وَمَنْحِ	manoH_1	مَنْحـ1	noun	manoH	granting;bestowal;awarding	m.n.H	م.ن.ح	faEol	فَعْل	2508	62908	82276	14268861
yusayoTiruwna	يُسَيْطِرُونَ	sayoTar_1	سَيْطَرـ1	verb	sayoTir	dominate;seize;command	s.T.r	س.ط.ر	fayoEal	فَيْعَل	3919	63344	208620	146444
Almusolimuwna	المُسْلِمُونَ	musolim_1	مُسْلِمـ1	noun	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	9276	200328	2085587	1009119
musolimapF	مُسْلِمَةً	musolim_1	مُسْلِمـ1	adj	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	1346	200328	2085587	1009119
tusayoTiru	تُسَيْطِرُ	sayoTar_1	سَيْطَرـ1	verb	sayoTir	dominate;seize;command	s.T.r	س.ط.ر	fayoEal	فَيْعَل	17891	63344	208620	146444
wa>aEoraba	وَأَعْرَبَ	>aEorab_1	أَعْرَبـ1	verb	>aEorab	express;manifest;indicate	E.r.b	ع.ر.ب	>afoEal	أَفْعَل	36150	149809	518378	2460356
AlHi*ori	الحِذْرِ	Hi*or_1	حِذْرـ1	noun	Hi*or	caution	H.*.r	ح.ذ.ر	fiEol	فِعْل	7766	23795	162248	2840982
wa>aEolana	وَأَعْلَنَ	>aEolan_1	أَعْلَنـ1	verb	>aEolan	announce;declare	E.l.n	ع.ل.ن	>afoEal~	أَفْعَلّ	81536	838376	1127300	1410448
naZiyruhu	نَظِيرُهُ	naZiyr_1	نَظِيرـ1	noun	naZiyr	counterpart;opposite_number;colleague;peer	n.Z.r	ن.ظ.ر	faEiyl	فَعِيل	1836	73696	409659	6533870
taHoqiyqi	تَحْقِيقِ	taHoqiyq_1	تَحْقِيقـ1	noun	taHoqiyq	achievement;realization	H.q.q	ح.ق.ق	tafoEiyl	تَفْعِيل	114660	425493	1376849	6264512
natiyjapF	نَتِيجَةً	natiyjap_1	نَتِيجَةـ1	noun	natiyj	result;consequence	n.t.j	ن.ت.ج	faEiylap	فَعِيلَة	21499	212838	619360	2557723
waAlbilojiykiy~u	وَالبِلْجِيكِيُّ	bilojiykiy~_1	بِلْجِيكِيّـ1	noun	bilojiykiy~	Belgian	b.l.j.k	ب.ل.ج.ك	fiEoliyliy~	فِعْلِيلِيّ	1753	37241	37241	38922
AifotitAHi	اِفْتِتاحِ	{ifotitAH_1	ٱِفْتِتاحـ1	noun	{ifotitAH	opening;inauguration	f.t.H	ف.ت.ح	{ifoEitAl	ٱِفْعِتال	47111	90697	481389	118793
>aEoraba	أَعْرَبَ	>aEorab_1	أَعْرَبـ1	verb	>aEorab	express;manifest;indicate	E.r.b	ع.ر.ب	>afoEal	أَفْعَل	38933	149809	518378	2460356
munaZ~amapi	مُنَظَّمَةِ	munaZ~amap_1	مُنَظَّمَةـ1	noun	munaZ~am	organization	n.Z.m	ن.ظ.م	mufaE~alap	مُفَعَّلَة	100805	360872	1190127	387643
Al<isolAmiy~i	الإِسْلامِيِّ	<isolAmiy~_1	إِسْلامِيّـ1	adj	<isolAmiy~	Islamic;Islamist;Muslim	s.l.m	س.ل.م	<ifoEAliy~	إِفْعالِيّ	126027	590235	2085587	909314
AlmunaZ~amapu	المُنَظَّمَةُ	munaZ~amap_1	مُنَظَّمَةـ1	noun	munaZ~am	organization	n.Z.m	ن.ظ.م	mufaE~alap	مُفَعَّلَة	24219	360872	1190127	387643
salAmap	سَلامَة	salAmap_1	سَلامَةـ1	noun	salAm	security;safety;integrity	s.l.m	س.ل.م	faEAlap	فَعالَة	3916	52100	2085587	1521812
lilmusolimiyna	لِلمُسْلِمِينَ	musolim_1	مُسْلِمـ1	noun	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	5790	200328	2085587	1009119
SaHiyfapu	صَحِيفَةُ	SaHiyfap_1	صَحِيفَةـ1	noun	SaHiyf	newspaper	S.H.f	ص.ح.ف	faEiylap	فَعِيلَة	140229	311664	766835	2557723
sal~amat	سَلَّمَت	sal~am_1	سَلَّمـ1	verb	sal~am	hand_over;surrender;greet	s.l.m	س.ل.م	faE~al	فَعَّل	8736	74040	2085587	4031261
maTolaEa	مَطْلَعَ	maTolaE_1	مَطْلَعـ1	noun	maTolaE	beginning;rise	T.l.E	ط.ل.ع	mafoEal	مَفْعَل	32570	88124	291957	1993955
AlHaZora	الحَظْرَ	HaZor_1	حَظْرـ1	noun	HaZor	prohibition;ban	H.Z.r	ح.ظ.ر	faEol	فَعْل	6756	96076	119933	14268861
>aqar~atohu	أَقَرَّتْهُ	>aqar~_1	أَقَرّـ1	verb	>aqar~	ratify;accept	q.r.r	ق.ر.ر	>afaE~	أَفَعّ	1653	89570	1744500	336038
Did~a	ضِدَّ	Did~_1	ضِدّـ1	noun	Did~	contrary;against;opposed;anti-;counter-	D.d.d	ض.د.د	fiE~	فِعّ	421953	464505	501364	848577
Als~Abiqapi	السّابِقَةِ	sAbiq_1	سابِقـ1	adj	sAbiq	former;previous;preceding	s.b.q	س.ب.ق	fAEil	فاعِل	94531	624514	899892	6244614
AlS~aHiyfapu	الصَّحِيفَةُ	SaHiyfap_1	صَحِيفَةـ1	noun	SaHiyf	newspaper	S.H.f	ص.ح.ف	faEiylap	فَعِيلَة	66410	311664	766835	2557723
naqolAF	نَقْلاً	naqol_1	نَقْلـ1	noun	naqol	transportation;transfer	n.q.l	ن.ق.ل	faEol	فَعْل	21875	232020	510056	14268861
musolimiyna	مُسْلِمِينَ	musolim_1	مُسْلِمـ1	noun	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	4276	200328	2085587	1009119
$aHonK	شَحْنٍ	$aHon_1	شَحْنـ1	noun	$aHon	transportation;shipment;freighting	$.H.n	ش.ح.ن	faEol	فَعْل	4451	19074	54212	14268861
TirAzi	طِرازِ	TirAz_1	طِرازـ1	noun	TirAz	model;type;calibre	T.r.z	ط.ر.ز	fiEAl	فِعال	30419	42588	44981	4333985
>aEolana	أَعْلَنَ	>aEolan_1	أَعْلَنـ1	verb	>aEolan	announce;declare	E.l.n	ع.ل.ن	>afoEal~	أَفْعَلّ	286144	838376	1127300	1410448
waSawAEiqi	وَصَواعِقِ	SAEiqap_2	صاعِقَةـ2	noun	SawAEiq	lightning	S.E.q	ص.ع.ق	fAEilap	فاعِلَة	68	1770	3522	1364469
tadax~ulK	تَدَخُّلٍ	tadax~ul_1	تَدَخُّلـ1	noun	tadax~ul	intervention;interference	d.x.l	د.خ.ل	tafaE~ul	تَفَعُّل	14806	127829	743525	1328652
SinAEapi	صِناعَةِ	SinAEap_1	صِناعَةـ1	noun	SinAE	manufacture;industry;trade;craft	S.n.E	ص.ن.ع	fiEAlap	فِعالَة	31509	173700	432794	1420370
AlmudAfiEi	المُدافِعِ	mudAfiE_1	مُدافِعـ1	noun	mudAfiE	defender;advocate	d.f.E	د.ف.ع	mufAEil	مُفاعِل	7096	57260	711415	1484898
wa*axA}ira	وَذَخائِرَ	*axiyrap_1	ذَخِيرَةـ1	noun	*axA}ir	ammunition;treasure;provisions	*.x.r	ذ.خ.ر	faEiylap	فَعِيلَة	622	15735	16723	2557723
AlHumuwlapi	الحُمُولَةِ	Humuwlap_1	حُمُولَةـ1	noun	Humuwl	tonnage;load_capacity	H.m.l	ح.م.ل	fuEuwlap	فُعُولَة	1239	7712	508046	1666712
HiS~apK	حِصَّةٍ	HiS~ap_1	حِصَّةـ1	noun	HiS~	share;portion;quota	H.S.S	ح.ص.ص	fiE~ap	فِعَّة	5953	43193	85255	1100025
Hukuwmiy~apK	حُكُومِيَّةٍ	Hukuwmiy~_1	حُكُومِيّـ1	adj	Hukuwmiy~	governmental;state;official	H.k.m	ح.ك.م	fuEuwliy~	فُعُولِيّ	18328	168893	1923216	310684
maSodarK	مَصْدَرٍ	maSodar_1	مَصْدَرـ1	noun	maSodar	source	S.d.r	ص.د.ر	mafoEal	مَفْعَل	27833	294831	928417	1993955
Easokariy~K	عَسْكَرِيٍّ	Easokariy~_1	عَسْكَرِيّـ1	adj	Easokariy~	military;army	E.s.k.r	ع.س.ك.ر	faEolaliy~	فَعْلَلِيّ	41943	607589	654581	658923
qAfilapK	قافِلَةٍ	qAfil_1	قافِلـ1	noun	qAfil	coming_home;returning	q.f.l	ق.ف.ل	fAEil	فاعِل	4181	13299	98030	6244614
maEoruwfapF	مَعْرُوفَةً	maEoruwf_1	مَعْرُوفـ1	adj	maEoruwf	known;well-known	E.r.f	ع.ر.ف	mafoEuwl	مَفْعُول	1984	111975	609424	2279318
Al>aham~iy~api	الأَهَمِّيَّةِ	>aham~iy~ap_1	أَهَمِّيَّةـ1	noun	>aham~iy~	importance;significance	h.m.m	ه.م.م	>afaE~iy~ap	أَفَعِّيَّة	16480	180783	605707	217879
AlHarobi	الحَرْبِ	Harob_1	حَرْبـ1	noun	Harob	war;warfare	H.r.b	ح.ر.ب	faEol	فَعْل	275794	591597	682349	14268861
AlHuSuwla	الحُصُولَ	HuSuwl_1	حُصُولـ1	noun	HuSuwl	acquisition;obtaining	H.S.l	ح.ص.ل	fuEuwl	فُعُول	15343	188310	266837	2228842
<idoxAluhA	إِدْخالُها	<idoxAl_1	إِدْخالـ1	noun	<idoxAl	insertion;entering;inclusion	d.x.l	د.خ.ل	<ifoEAl	إِفْعال	713	35557	743525	2938055
biTariyqapK	بِطَرِيقَةٍ	Tariyqap_1	طَرِيقَةـ1	noun	Tariyq	method;procedure	T.r.q	ط.ر.ق	faEiylap	فَعِيلَة	46579	149589	544925	2557723
sir~iy~apK	سِرِّيَّةٍ	sir~iy~_1	سِرِّيّـ1	adj	sir~iy~	secret;private	s.r.r	س.ر.ر	fiE~iy~	فِعِّيّ	12176	57941	159814	324769
AlHarobiy~api	الحَرْبِيَّةِ	Harobiy~_1	حَرْبِيّـ1	adj	Harobiy~	military;war-related	H.r.b	ح.ر.ب	faEoliy~	فَعْلِيّ	13968	39789	682349	2038446
muDAd~apK	مُضادَّةٍ	muDAd~_2	مُضادّـ2	adj	muDAd~	anti-;counter-;contra-	D.d.d	ض.د.د	mufAE~	مُفاعّ	9227	33693	501364	33693
qAdimapK	قادِمَةٍ	qAdimap_1	قادِمَةـ1	noun	qAdim	avant-garde	q.d.m	ق.د.م	fAEilap	فاعِلَة	274	1253	1344030	1364469
majohuwlapK	مَجْهُولَةٍ	majohuwl_1	مَجْهُولـ1	adj	majohuwl	unknown;unidentified	j.h.l	ج.ه.ل	mafoEuwl	مَفْعُول	4102	26566	85155	2279318
majolisu	مَجْلِسُ	majolis_1	مَجْلِسـ1	noun	majolis	council;board	j.l.s	ج.ل.س	mafoEil	مَفْعِل	131019	1211954	1379543	1853128
jAnibK	جانِبٍ	jAnib_1	جانِبـ1	noun	jAnib	side;aspect	j.n.b	ج.ن.ب	fAEil	فاعِل	27740	436198	1268103	6244614
AlHaZori	الحَظْرِ	HaZor_1	حَظْرـ1	noun	HaZor	prohibition;ban	H.Z.r	ح.ظ.ر	faEol	فَعْل	39923	96076	119933	14268861
AlHukuwmapi	الحُكُومَةِ	Hukuwmap_1	حُكُومَةـ1	noun	Hukuwm	government;administration	H.k.m	ح.ك.م	fuEuwlap	فُعُولَة	427761	1100316	1923216	1666712
AiEotaraDa	اِعْتَرَضَ	{iEotaraD_1	ٱِعْتَرَضـ1	verb	{iEotaraD	object_to;be_opposed_to;be_inserted_in	E.r.D	ع.ر.ض	{ifotaEal	ٱِفْتَعَل	4249	31269	910117	2156523
HaZori	حَظْرِ	HaZor_1	حَظْرـ1	noun	HaZor	prohibition;ban	H.Z.r	ح.ظ.ر	faEol	فَعْل	19614	96076	119933	14268861
yuHab~i*u	يُحَبِّذُ	Hab~a*_1	حَبَّذـ1	verb	Hab~i*	applaud;appreciate	H.b.*	ح.ب.ذ	faE~al	فَعَّل	1102	4092	5816	4031261
muqotaniEAF	مُقْتَنِعاً	muqotaniE_1	مُقْتَنِعـ1	adj	muqotaniE	satisfied;content;convinced	q.n.E	ق.ن.ع	mufotaEil	مُفْتَعِل	2333	13991	131264	575035
Tariyqi	طَرِيقِ	Tariyq_1	طَرِيقـ1	noun	Tariyq	road;way	T.r.q	ط.ر.ق	faEiyl	فَعِيل	131014	358092	544925	6533870
na$oru	نَشْرُ	na$or_1	نَشْرـ1	noun	na$or	spreading;propagation	n.$.r	ن.ش.ر	faEol	فَعْل	7705	129851	351992	14268861
AlmunoEaqadi	المُنْعَقَدِ	munoEaqad_1	مُنْعَقَدـ1	adj	munoEaqad	held;convened	E.q.d	ع.ق.د	munofaEal	مُنْفَعَل	3938	8566	702208	50189
Hukuwmapu	حُكُومَةُ	Hukuwmap_1	حُكُومَةـ1	noun	Hukuwm	government;administration	H.k.m	ح.ك.م	fuEuwlap	فُعُولَة	30464	1100316	1923216	1666712
Al>agolabiy~api	الأَغْلَبِيَّةِ	>agolabiy~_1	أَغْلَبِيّـ1	adj	>agolabiy~	majority	g.l.b	غ.ل.ب	>afoEaliy~	أَفْعَلِيّ	2257	8598	102413	215369
Almusolimapi	المُسْلِمَةِ	musolim_1	مُسْلِمـ1	adj	musolim	Muslim	s.l.m	س.ل.م	mufoEil	مُفْعِل	7674	200328	2085587	1009119
>aEolanat	أَعْلَنَت	>aEolan_1	أَعْلَنـ1	verb	>aEolan	announce;declare	E.l.n	ع.ل.ن	>afoEal~	أَفْعَلّ	156378	838376	1127300	1410448
AisotiEodAdahA	اِسْتِعْدادَها	{isotiEodAd_1	ٱِسْتِعْدادـ1	noun	{isotiEodAd	preparation	E.d.d	ع.د.د	{isotifoEAl	ٱِسْتِفْعال	5416	104786	1493498	1400983
li<irosAli	لِإِرْسالِ	<irosAl_1	إِرْسالـ1	noun	<irosAl	transmission;broadcast	r.s.l	ر.س.ل	<ifoEAl	إِفْعال	5610	94427	463184	2938055
>akobar	أَكْبَر	>akobar_3	أَكْبَرـ3	noun_prop	>akobar	Akbar	k.b.r	ك.ب.ر	>afoEal	أَفْعَل	5446	7595	30916	2460356
EuTolapi	عُطْلَةِ	EuTolap_1	عُطْلَةـ1	noun	EuTol	holiday;vacation;recess	E.T.l	ع.ط.ل	fuEolap	فُعْلَة	11681	24948	82928	2077406
Al>usobuwEi	الأُسْبُوعِ	>usobuwE_1	أُسْبُوعـ1	noun	>usobuwE	week	s.b.E	س.ب.ع	>ufoEuwl	أُفْعُول	84304	311240	357568	391788
limud~api	لِمُدَّةِ	mud~ap_1	مُدَّةـ1	noun	mud~	period_of_time;interval	m.d.d	م.د.د	fuE~ap	فُعَّة	70648	150154	513337	473337
AlAiqotiSAdiy~i	الاِقْتِصادِيِّ	{iqotiSAdiy~_2	ٱِقْتِصادِيّـ2	adj	{iqotiSAdiy~	economic;economical	q.S.d	ق.ص.د	{ifotiEAliy~	ٱِفْتِعالِيّ	116545	544792	844886	1234737
EarafAt	عَرَفات	EarafAt_1	عَرَفاتـ1	noun_prop	EarafAt	Arafat	E.r.f	ع.ر.ف	faEalAt	فَعَلات	217819	231724	609424	231734
yaEotazimu	يَعْتَزِمُ	{iEotazam_1	ٱِعْتَزَمـ1	verb	Eotazim	be_determined;be_resolute	E.z.m	ع.ز.م	{ifotaEal	ٱِفْتَعَل	12712	39983	93851	2156523
Als~afara	السَّفَرَ	safar_1	سَفَرـ1	noun	safar	travel;trip	s.f.r	س.ف.ر	faEal	فَعَل	4107	67314	508332	6231039
munotaSafi	مُنْتَصَفِ	munotaSaf_1	مُنْتَصَفـ1	noun	munotaSaf	middle;halfway	n.S.f	ن.ص.ف	mufotaEal	مُفْتَعَل	51203	64469	91064	943033
qariybapN	قَرِيبَةٌ	qariyb_1	قَرِيبـ1	adj	qariyb	near;close	q.r.b	ق.ر.ب	faEiyl	فَعِيل	9009	179129	400771	6533870
jid~AF	جِدّاً	jid~_1	جِدّـ1	noun	jid~	seriousness;earnestness	j.d.d	ج.د.د	fiE~	فِعّ	180987	196545	1452604	848577
