word,wordfreq
23,49
hunyo,51
1995,8
amerikanong,41
mananaliksik,5
pangmedisina,5
birologo,1
birolohista,1
pinaka,71
nakikilala,24
dahil,380
kaniyang,179
pagkakatuklas,10
pagkakapaunlad,1
matagumpay,24
bakuna,41
laban,65
polyo,1
pittsburgh,2
pennsylvania,2
ipinanganak,105
new,74
york,30
mag,94
anak,143
hudyong,5
irlandes,7
nag,137
aral,43
siya,807
pamantasan,29
kasal,23
kay,191
donna,1
lindsey,2
mula,619
1939,13
hanggang,268
magdiborsiyo,1
sila,171
1968,5
nagkaroon,75
tatlong,106
pagkaraan,30
naging,280
françoise,1
gilot,1
1970,9
kamatayan,59
namatay,80
habang,146
nasa,266
tahanan,22
la,26
jolla,1
california,24
pagpalya,1
puso,27
gulang,62
80,9
inilibing,6
el,18
camino,1
memorial,9
park,11
san,130
diego,16
100,27
pinoy,13
palabas,219
pantelebisyon,9
sumasahimpapawid,2
bawat,102
huwebes,1
gabi,20
gma,71
network,66
rosalinda,9
dramang,4
teleserye,4
pinangungunahan,4
carla,2
abellana,2
serye,49
nagsisimula,16
babae,107
nagngangalang,8
soledad,16
romero,3
glydel,2
mercado,11
abogado,7
alfredo,11
del,42
castillo,7
ariel,2
rivera,5
s,158
boss,3
lihim,5
manliligaw,1
don,12
jose,43
fernando,18
atlamirano,1
carlos,9
morales,5
brother,2
in,93
batas,64
nararamdaman,5
libog,1
para,739
ngunit,201
lamang,232
mata,27
araw,178
nagpapadala,4
sulat,27
hili,1
kapag,135
dumating,20
kanilang,286
pulong,14
lugar,137
sumusubok,4
panggagahasa,1
oras,56
kills,1
upang,374
i,135
save,4
gayunman,11
collapses,1
aagaw,1
kaliwa,4
hawak,9
baril,4
tulong,19
batang,53
lalaki,60
pinangyarihan,2
asawa,60
dona,4
valeria,5
sheryl,1
cruz,25
naniniwala,33
pumatay,6
blames,1
tulad,117
ipinadala,12
bilangguan,5
24,42
krimen,4
gumawa,49
paghahatid,1
pangungusap,25
nagbibigay,70
kapanganakan,19
girl,13
sanggol,21
pagbibigay,26
incarcerated,1
pinilit,4
ibigay,7
dolores,5
perez,2
jennifer,4
sevilla,1
parehong,72
maiwasan,9
sinasabi,16
javier,2
gary,3
estrada,5
katotohanan,18
nagsasabi,7
kanya,77
hahanap,2
labas,34
makakakuha,6
galit,19
rin,365
realizes,1
magkakaroon,13
mas,291
magandang,14
kinabukasan,3
alam,38
ina,72
piitan,3
susunod,21
ngayon,94
matanda,12
bumaba,5
ibig,38
guwapo,2
wala,37
sinumang,6
nakakaalam,2
tungkol,63
kani,8
pasts,1
out,13
relasyon,9
dating,110
ilalim,119
katayuan,11
lipunan,30
fedra,2
katrina,3
halili,3
tanggapin,2
nahahaling,1
subalit,84
kabila,15
lahat,168
pagpunta,4
kanila,32
makahanap,3
paraan,72
mapanatili,4
malakas,28
matapos,73
maraming,163
obstacles,2
wakas,11
simbahan,51
nakatagpo,3
sinabi,46
kaibigan,31
tumakbo,4
paglipas,11
tanong,3
mananatiling,1
makakuha,7
inilabas,69
paghihiganti,4
atty,4
makakagambala,2
ba,38
magnakaw,3
kumuha,6
pagpatay,8
mahalaga,14
lagpasan,1
mabuhay,7
maligaya,3
pagkatapos,164
sandglass,1
telebisyon,252
verbano,7
cusio,7
ossola,7
secret,1
campus,5
themis,1
akiko,3
yano,1
mang,99
aawit,93
adrian,1
canterbury,2
santo,48
romano,81
2706,1
borovský,1
quimbaya,1
munisipalidad,55
departamento,47
quindío,1
kolombiya,32
1228,1
udine,2
rehyon,1
friuli,1
venezia,5
giulia,1
kabisera,48
254,1
augusta,1
ikaw,19
paparating,1
drama,18
abs,33
cbn,31
ipapalabas,6
march,3
10,78
saan,292
papalit,2
got,2
to,80
believe,6
azela,1
robinson,2
mehiko,43
alberto,4
veloso,1
politiko,63
taong,217
nakatala,6
rito,31
nagmula,48
lee,41
ip,1
sae,3
bakya,2
mo,55
neneng,2
pelikulang,52
pilipino,41
ginawa,83
premiere,4
production,2
1957,8
pinagbidahan,5
zaldy,1
zshornack,1
olivia,9
cenizal,1
dean,1
fujioka,1
ascoli,2
piceno,2
atleza,1
kathang,74
isip,79
karakter,85
marvel,46
comics,70
jung,6
so,6
nyu,2
uras,1
oristano,5
desulo,1
nuoro,4
subarashiki,1
kana,2
jinsei,2
acevedo,1
huila,3
alay,6
ingles,273
scarecrow,2
panakot,6
uwak,8
literal,26
salin,20
uri,189
kasangkapan,3
kahugis,3
nakaugaliang,14
dinadamitan,1
lumang,28
damit,19
isa,402
itong,176
tau,3
tauhan,29
manekin,1
ginagamit,160
ibon,21
katulad,137
kumakain,10
halamang,31
aanihin,1
kinakain,5
bagong,116
saboy,1
butil,12
buto,17
nagtitipun,1
tipon,2
grupo,95
labindalawa,1
nagkakaisa,2
naman,149
makabuo,6
pangkat,55
20,79
30,52
higit,66
pa,278
lipon,5
sadyang,5
napakalaki,3
maingay,2
nakagawian,1
ibong,11
magpabalik,1
balik,2
pook,57
tuwing,29
mitolohiya,4
hapones,69
natipon,3
akdang,11
kojiki,1
712,2
lumitaw,21
anyo,63
diyos,138
kuebiko,1
nilalang,19
makalakad,1
maalam,1
mundo,110
mungkahi,6
1881,2
household,5
cyclopedia,1
general,11
information,2
pantahanang,1
siklopedya,1
impormasyong,5
panlahat,2
malaking,63
suliraning,5
salot,3
harding,2
tagsibol,7
guguluhin,1
nila,109
hanay,25
pamamagitan,274
paghila,4
sibol,3
mais,7
kainin,8
natitirang,10
punlang,1
katimugang,18
appalachian,1
pangkaraniwang,28
paraang,11
paggamit,67
patay,8
nakabitin,1
haligi,4
kadalasang,57
makabagong,23
bukirin,1
itinatali,3
halaman,44
lubhang,9
makinang,10
laso,1
yari,21
aluminyo,2
magsilbing,2
pansilaw,1
sinag,14
pananakot,2
barilang,1
kusang,6
gumagalaw,11
awtomatiko,1
lumulusob,2
gumagana,5
nakargahan,2
gasolinang,1
propano,1
united,21
kingdom,16
pananggalang,4
pananim,4
noon,35
isinaunang,2
panahon,228
marami,62
ring,85
diyalekto,5
tinatawag,162
sumusunod,82
mommet,1
somerset,1
murmet,1
devon,2
hodmedod,1
berkshire,1
tattie,1
bogle,1
scotland,2
bwbach,1
wales,3
patakot,1
tawo,2
kalang,2
espantaho,1
kastila,63
espantapájaros,1
t,276
brescia,9
wilmington,1
pinakamataong,11
delaware,2
estados,115
unidos,114
leslie,1
cheung,2
kwok,1
wing,1
setyembre,48
12,72
1956,4
hongkong,7
abril,51
1,193
2003,30
gero,1
gifu,5
prefecture,32
484,1
kaist,1
paglapastangan,1
maaaring,406
tumukoy,88
gin,2
maeda,4
toshinori,1
omi,1
huguenot,1
protestanteng,5
pranses,38
ika,279
16,54
17,42
daangtaon,1
partikular,59
kalabanin,1
katolikong,10
paminsan,11
silang,43
tinutukoy,18
kalbinistang,1
1598,1
nabigyan,6
kalayaan,17
pananampalataya,9
kautusan,8
edikto,1
nantes,1
kautusang,5
kapangyarihan,35
nawala,10
politika,10
pagkalipas,9
digmaang,44
naganap,28
1625,1
1628,2
kailan,14
tinugis,1
kardinal,8
richelieu,1
nang,257
tanggalin,4
louis,20
xiv,2
relihiyon,27
1685,3
lumikas,4
pransiya,47
muli,42
kalayaang,2
pampananampalataya,1
1787,5
pamahalaan,51
xvi,5
paredes,2
naglingkod,24
mahistrado,15
kataas,13
taasang,13
hukuman,19
northern,2
bataan,11
institute,8
dinalupihan,1
1945,14
napoleon,2
esguerra,2
seti,2
ii,50
sethos,1
ikalimang,12
paraon,20
ikalabingsiyam,1
dinastiya,13
ehipto,40
naghari,5
1203,1
bce,58
1197,1
pangalang,66
hari,46
userkheperure,1
setepenre,1
nangangahulugang,36
makapangyarihan,6
manipestasyon,3
re,7
merneptah,1
isetnofret,1
umupo,3
trono,25
panahong,76
intriga,1
maikling,33
paghahari,7
pamumuno,22
iba,384
nangailangang,1
makitungo,1
malalamang,1
pagtatangka,3
pinakamahalaga,2
pagkakamit,3
katunggaling,2
haring,22
amenmesse,1
posibleng,23
kalahating,13
sumunggab,1
thebes,10
nubia,2
itaas,32
ikalawa,9
ikaapat,17
niyang,106
debra,1
wilson,1
kilalang,96
sining,88
pelikula,122
narra,1
aylín,1
mújica,1
matet,1
leon,6
ayaw,5
man,51
vilma,4
dapat,63
lang,56
isalin,1
inang,7
gloria,6
mapamana,1
pagka,16
asuwang,1
lahi,20
1973,3
raymond,6
abracosa,1
abra,3
pilipinong,27
hip,7
hop,7
naabot,2
katanyagan,7
awiting,13
gayuma,1
video,20
nakaabot,2
mahigit,39
milyong,48
panood,1
youtube,5
pinakamataas,13
compilation,2
albums,2
partido,43
komunista,7
albanya,4
partidong,20
republika,39
most,8
serene,2
republic,8
venice,1
estado,67
nagsimula,66
hilagang,52
tumagal,14
1000,1
7,79
siglo,57
ad,18
1797,1
itinuring,8
serenissima,1
sangguni,1
titulo,8
nitong,48
venezio,2
angn,1
bahagi,182
silangang,75
imperyong,28
pero,26
kaaway,10
imperyo,17
alexios,1
komnenos,1
imp,1
bisantino,1
bumagsak,5
paglaki,12
teritoryo,10
austria,12
probinsiyang,3
yu,4
kawada,1
skoll,1
buwan,64
saturn,4
1511,2
pagtili,4
matatawag,1
ding,61
pagsigaw,1
paghiyaw,1
the,264
scream,1
noruwego,1
skrik,1
pamagat,23
ibinigay,37
apat,101
bersiyon,20
komposisyon,7
nilikha,40
ipinintang,2
larawan,25
dibuho,5
litograp,1
ekspresyonistang,1
edvard,3
munch,5
pagitan,95
1893,5
1910,6
gawang,5
nagpapakita,37
matinding,12
paghihirap,8
likuran,12
mapulang,1
kalangitan,9
tanawin,4
oslofjord,1
tinatanaw,5
magmula,41
ekeberg,1
oslo,11
lumikha,21
sari,19
saring,19
midya,1
naghahawak,1
pambansang,46
galeriya,2
bersiyong,14
nakapinta,1
matatanaw,1
kanan,5
museo,6
nagtatangan,1
pastel,2
1895,4
naipagbili,1
rekord,18
halagang,11
119,2
922,1
500,8
ibinunyag,2
pribadong,6
mambibili,1
ginanap,26
subasta,1
impresyonista,1
moderno,2
isinagawa,9
sotheby,1
mayo,81
2012,22
puntirya,1
ilang,227
pagnanakaw,4
likhang,3
1994,13
nanakaw,1
nabawi,5
2004,38
madonna,1
gawa,53
ninakaw,1
gu,1
han,9
yun,9
alessandria,6
joaquin,3
ipinapalagay,4
ama,47
mahal,13
birheng,10
maria,38
wakamono,1
no,48
subete,1
windows2,1
0,15
bersyon,12
microsoft,11
windows,11
gm,2
internet,25
country,18
code,28
top,32
level,15
domain,15
cctld,13
gambia,1
bu,1
xue,1
liang,1
katsumi,1
nakayama,1
libreville,1
gabon,1
galileano,1
peñón,1
181,2
oh,11
yeon,1
seo,6
blitzkrieg,1
doktrinang,10
militar,21
nangangahulgan,1
atake,15
elemento,20
bilis,8
pambibigla,1
makaorganisa,1
depensa,6
kalaba,1
lighting,1
war,4
marya,16
hebreo,13
מ,1
ר,1
י,2
ם,4
miriam,1
aramaiko,3
maryām,1
arabiko,8
مريم,1
maryam,2
santa,40
theotokos,1
mapalad,3
islam,25
ayon,256
tradisyong,10
kristiyano,35
muslim,21
hesus,70
bibliya,45
kanonikal,2
ebanghelyo,14
nazareth,3
galilea,4
itinuturing,42
akay,1
kristiyanismo,14
isinasaad,4
tipan,20
mateo,17
18,43
25,52
lucas,10
26,41
56,3
quran,2
interbensiyon,1
pinaniniwalaan,13
mesiyas,5
nagkatawang,1
pinakamahalagang,7
propeta,6
mababa,17
huling,61
propetang,2
muhammad,7
inilalarawan,16
birhen,8
parthenos,1
griyego,42
naglihi,2
milagroso,2
ahensiya,4
banal,52
espirito,4
utos,9
paglilihing,1
nangyari,32
ikakasal,2
naghihintay,2
pinakasalan,5
sumama,7
bethlehem,12
hudea,2
magpatala,1
censo,7
quirinius,6
nagaatas,1
indibidwal,25
bumalik,19
ninuno,11
gayunpaman,31
arkeolohgo,1
walang,208
ebidensiyang,6
arkeolohikal,2
tinirhan,2
ce,34
historyan,4
josephus,3
ulat,15
6,82
hinirang,11
legatong,1
gobernador,13
syria,6
samantalang,48
ekwestriyanong,1
romanong,3
katulong,9
coponius,1
itinakdang,6
judea,2
inatasan,4
magsagawa,3
buwis,4
emperador,61
salaysay,15
problematiko,1
skolar,15
paglalagay,9
naglalagay,3
herodes,5
4,128
9,58
maaga,5
karagdagan,29
sangguniang,8
historikal,2
nagbabanggit,4
censor,1
pandaigdigan,3
daigdig,30
kinontrol,2
augustus,6
sumasaklaw,9
mamamayang,5
kasanayan,15
censong,1
atasan,1
juan,51
ikatlong,32
kasalan,5
cana,1
naroroon,4
alagad,23
inanyayahan,1
magkulang,2
alak,12
jesus,13
kaniya,20
ano,35
kinalaman,12
akin,13
iyo,9
aking,18
dumarating,1
tagapaglingkod,3
anumang,65
iniutos,4
inutusan,2
punuin,1
tapayan,1
sumalok,1
dalhin,4
namamahala,4
handaan,1
tikman,1
nanggaling,12
tinawag,40
kapistahan,7
lalaking,22
ikinasal,3
inihahain,2
mabuting,18
mababang,24
nainom,1
inihain,2
huli,30
marcos,10
3,99
31,29
34,11
lalake,33
nakatayo,8
bahay,52
nagsugo,2
tawagin,7
nakaupo,5
napakaraming,2
palibot,4
sinugo,2
narito,9
iyong,132
hinahanap,2
ka,44
sinagot,4
sino,10
pagtingin,4
tingnan,8
ninyo,5
sapagkat,30
gumaganap,11
13,54
53,6
57,5
talinghagang,2
umalis,14
roon,7
pagdating,14
lupain,32
nagturo,7
sinagoga,4
labis,27
nanggilalas,1
karunungan,5
gayundin,35
ganitong,57
himala,3
karpentero,1
sina,85
santiago,8
simon,6
judas,3
kasama,193
natin,10
gayon,28
nga,22
kinatisuran,1
karangalan,9
sambahayan,5
as,32
19,51
27,38
malapit,45
krus,19
naroon,11
cleofas,1
magdalena,2
nakita,19
iniibig,1
iyon,69
dinala,10
joachim,3
ana,11
ipaglihi,1
anna,6
baog,1
serbisyon,2
konsagradong,1
templo,11
herusalem,4
apokripa,1
nagsasaad,16
ipagkasundo,1
siyang,126
ikasal,1
14,42
edad,37
90,11
tradisyon,12
napapalibutan,4
apostol,16
efeso,6
pagakyat,4
langit,32
hyppolitius,1
nabuhay,11
11,50
41,6
hudaismo,12
tumatakwil,3
salita,62
psilantropista,1
nangatwiran,2
psilantropismo,1
umiral,7
sinaunang,59
hudyo,18
gaya,76
ebionita,1
tumuring,2
tumakwil,2
pablo,20
tumalikod,1
itinakwil,2
kredong,2
niseno,2
katuruan,6
konseho,9
nicaea,3
pagsalungat,2
pagkondena,1
nanaig,2
paniniwalang,11
arianismo,3
epiphanius,2
sinasamba,5
diyosang,5
sektang,5
krisityano,2
collyridianism,1
buong,99
arabya,2
300,6
naghahandog,1
tinapay,9
kinondena,3
binatikos,3
kasulatang,6
panarion,1
celsus,2
nagmungkahi,3
ilehitimong,1
sundalong,7
panthera,2
kuwento,62
toledot,1
yeshu,1
ibang,298
doktrina,6
sekta,3
kinabibilangan,51
sennori,1
sassari,4
2000b,1
before,2
can,5
bus,9
album,165
rapper,5
canibus,1
hulyo,58
2000,89
universal,4
records,18
naomi,1
chiaki,1
pesaro,4
urbino,4
balabagan,4
trade,5
school,33
lanao,5
sur,25
1967,9
dr,31
sarbaya,1
m,32
bonsalagan,1
ed,2
d,34
liloy,2
klaseng,59
zamboanga,5
norte,24
senso,56
populasyon,105
33,6
702,1
katao,73
750,4
kabahayan,57
nahahati,77
37,11
barangay,129
saint,9
paul,21
university,35
iloilo,10
1946,1
sr,6
carolina,8
agravante,1
spc,2
yamato,6
kumamoto,3
boku,3
mahou,1
tsukai,1
krizzy,1
jareno,1
1508,1
bangon,1
kristyanong,3
eternal,1
kaugnay,24
eternity,1
huh,1
joon,7
simplicio,2
domingo,4
jr,24
518,2
adbentistang,1
unibersidad,35
adventist,3
philippines,14
cavite,9
1917,10
gladden,1
flores,2
redford,1
white,30
kingston,1
hamayka,1
kasunduang,6
laurel,2
langle,1
kasunduan,7
ekonomiya,35
pumalit,4
bell,2
act,4
natapos,17
1954,8
1974,9
kabilang,171
tadhana,2
aalis,8
pagbabawal,2
magpataw,1
taripa,2
iniluluwas,1
kalakal,3
pagbuwag,1
kontrolin,5
rate,6
palitan,7
piso,4
dolyar,4
pagpapalawig,2
quota,1
asukal,3
parity,1
clause,1
pantay,6
karapatan,12
mamuhunan,2
mamamayan,23
natural,14
mapagkukunan,2
kundi,24
sektor,11
christy,1
carlson,1
saravena,1
arauca,1
buhawi,1
jack,5
explorer,3
msie,1
ie,2
web,8
browser,2
isinasama,2
pinakamaraming,6
kompyuter,28
gumagamit,56
1999,18
pinakabagong,4
ie9,1
aa,1
dumi,4
wikang,118
tagalog,37
pambata,4
salitang,111
kausap,1
bata,86
magkakausap,1
ahn,3
hong,9
jin,18
joyeux,1
pakikipagniig,22
ain,21
william,16
adams,2
marso,65
15,60
1975,8
will,10
am,11
binibigkas,8
recording,3
artist,12
manunulat,42
kanta,16
negosyante,4
pamboses,1
dj,3
record,12
producer,5
pilantropo,1
tagapagtatag,14
bandang,30
pop,11
black,30
eyed,2
peas,2
nakatanggap,14
pitong,29
grammy,7
award,27
walong,25
american,14
music,29
billboard,6
teen,2
choice,3
mtv,9
awards,11
world,34
napanalunan,7
naglabas,14
solo,9
una,51
lost,2
change,3
2001,25
atlantic,3
must,6
21,46
songs,2
about,5
girls,3
2007,81
willpower,1
2013,18
nagproduce,1
jackson,4
justin,7
bieber,3
eazy,1
e,33
britney,2
spears,2
miley,2
cyrus,4
david,15
guetta,1
u2,1
rihanna,1
usher,1
timberlake,1
earth,5
wind,5
fire,4
nicki,1
minaj,1
cheryl,1
cole,5
2ne1,1
smap,1
game,7
nas,1
bone,2
thugs,1
n,54
harmony,1
daddy,2
yankee,1
wolfgang,1
gartner,1
juanes,1
coach,1
voice,2
uk,6
rokkasho,1
prepektura,47
aomori,3
montecchia,1
di,71
crosara,1
verona,4
amorseko,2
mursikos,1
tinloy,1
burry,1
lovegrass,2
amorseco,1
damong,9
eragrostis,1
pamilyang,20
poaceae,1
mahirap,15
alisin,9
bungang,8
sungay,2
kumabit,1
shane,1
hermogenes,1
halimaw,11
loch,3
ness,4
pinaniniwalaang,13
hayop,69
naibibilang,1
pamilya,36
sinasabing,20
naninirahan,26
gaelikong,2
eskosesa,1
nis,1
lagunang,1
eskosya,5
pinakakilalang,6
pinagaralan,3
kriptosoolohiya,1
nawawala,9
bumabalik,3
paniniwala,21
interes,11
mapansin,2
1933,4
pakuwento,1
anekdotal,1
ebidensiya,18
pagkakalalang,1
kaunti,9
pinagtatalunang,1
litratong,1
materyal,22
pagbasang,2
ginamitan,1
aparatong,8
sonar,1
pisikal,41
pagpapatunay,3
labi,8
bakas,4
kalansay,2
pagkahuli,1
halimbawa,114
tisyu,8
natutuklas,1
kasalukuyan,39
mapagmahal,2
nessie,1
katutubong,35
maging,122
lumaon,10
dekada,37
1950,6
eskosesang,1
niseag,1
baselga,1
pinè,1
smokey,1
manaloto,1
mapapanood,2
days,6
heaven,17
ipinalalabas,1
born,4
april,2
monselice,1
toshifumi,2
hinata,2
hayato,3
fujiki,1
hidaka,2
saitama,8
keishicho,1
sosa,2
ikka,1
gakari,1
anime,64
larong,38
bidyo,18
yesterday,1
sternatia,1
baryo,14
lecce,9
antonio,9
barredo,1
horus,1
kulasimang,1
pandagat,5
sea,9
purslane,1
boa,83
kwon,3
hangul,6
권보아,1
hanja,5
權寶兒,1
palayaw,9
retroakronimo,1
beat,4
angel,2
koreanang,2
mananayaw,2
aktibo,6
lumaki,12
gyeonggi,1
do,24
natuklasan,20
ahenteng,3
pangtalento,1
sm,24
entertainment,31
sinamahan,8
nakatatanda,3
talent,6
search,6
makalipas,13
pagsasanay,30
kauna,42
unahang,39
koreanong,21
id,3
peace,6
listen,8
my,31
heart,20
avex,6
8,62
2008,59
usa,8
sangay,29
sinsilyong,9
eat,10
you,45
up,31
2009,41
dala,4
impluwensiya,9
r,14
nelly,1
janet,1
madalas,36
genre,4
awit,67
naturang,36
talento,10
pagsulat,14
hinahawakan,6
kasamahan,6
kadahilanang,5
kritisismo,5
ilan,55
nakisulat,1
nagsagawa,9
nothing,1
gon,1
tagumpay,15
dalaga,5
naihambing,1
kakayahan,30
makapagsalita,1
wika,64
bihasa,4
pangtalamitang,1
koreano,23
nagsaplaka,2
tsino,32
mandarin,3
nagtamo,9
pambihirang,6
pagkakilala,1
asya,41
tanging,29
taga,40
nakabenta,18
halos,56
sunod,48
numero,16
unong,3
tsart,11
oricon,18
kahanay,2
ayumi,6
hamasaki,3
nakatatandang,6
awdisyon,4
wari,4
naka,24
reserba,2
kontrata,13
manman,1
inalok,3
pumayag,3
magulang,18
aaral,99
karerang,3
musika,27
pilitin,1
naisaad,1
taiji,1
naunang,13
sumailalim,13
sayaw,5
agosto,49
katamtamang,11
nakapasok,7
kumulang,38
156,2
000,68
piyesa,2
samantala,8
nakipagkasundo,1
trax,2
ilunsad,1
mini,4
start,6
now,10
kopya,28
pagkakalabas,1
pasamantalang,1
nilisan,1
karera,15
simulan,7
pagkakataong,3
sanayin,1
sarili,45
sinimulan,20
musikang,3
club,11
pagmamay,8
ari,23
velfarre,1
eponimong,1
umabot,20
sinsilyo,14
sinundan,6
amazing,1
kiss,15
kimochi,3
wa,8
tsutawaru,1
unahangng,1
top5,1
isinaplaka,1
meaning,1
kumi,2
koda,2
song,11
nation,1
proyekto,17
makalikom,1
pondong,5
pangkawanggawa,2
2002,26
sertipikadong,1
milyon,19
benta,11
riaj,2
nung,19
buwang,12
nakalipas,12
ilabas,5
pangalawang,38
naibenta,4
544,3
pinakamabentang,9
jumping,1
into,5
muling,70
valenti,4
five,1
puwesto,8
kiseki,1
umangat,2
katapusan,10
miracle,1
249,1
pagpasuporta,1
inilunsad,7
1st,3
live,10
tour,12
konsiyertong,2
atlantis,2
princess,3
345,1
shine,2
we,9
are,8
58,3
limampu,1
plaka,3
love,28
honesty,4
tanda,8
estilo,20
naglalaman,56
rock,13
dance,15
with,17
astig,1
natapatan,1
mataas,59
linggo,35
pinatibayan,1
tripleng,5
platino,1
suporta,17
nagpalahok,1
concert,7
kaibahan,4
binigyang,3
diin,17
eksotikong,1
disenyo,15
asyano,5
temang,11
outer,1
space,2
sci,1
fi,5
props,1
sasakyang,13
pangkalawakan,3
robot,2
asimo,1
yokohama,3
nakagawa,7
siyam,22
pagtatanghal,14
nakahatak,1
105,5
manonood,8
kompilasyong,1
best,17
soul,3
2005,31
nagtaguri,1
asyanang,3
milyun,3
isinaayos,5
uli,7
imahe,27
kasabay,11
paglabas,22
name,11
iniwanan,2
cute,3
pambatang,3
nagtatak,1
nakaraang,13
iprinisinta,1
sexy,3
sultry,1
hakbang,4
pamilihang,6
inawit,8
nagsimulang,23
191,1
labing,23
on,30
nagpatuloy,10
isinadiwa,1
mature,4
self,3
confident,1
deklarasyon,2
digmaan,22
panglalakeng,1
tsowinisma,1
bohemiyong,1
tanaw,1
pabalat,6
isinagisag,1
kalaliman,2
potograpiya,3
nagsadiwa,1
tradisyonal,16
nagdala,4
ideya,21
pagkababaeng,1
koreana,1
tugtugin,5
natuloy,2
paghakbang,1
naglaman,2
kumpara,7
bentang,2
113,1
2006,56
abalang,4
abala,10
dihital,3
key,7
pebrero,59
outgrow,2
limitadong,5
edisyong,5
cd,9
dvd,8
hudyat,2
password,1
makita,19
espesyal,14
edisyon,4
opisyal,64
sityo,2
uno,4
pagkalabas,2
sumunod,29
paunang,9
linggong,2
panimula,5
puntong,3
tag,19
ref,1
motion,2
nagtalaga,5
merry,2
christmas,7
from,14
zepp,1
b0a,1
29,23
nagtagal,10
nagoya,4
labindalawang,7
dalawa,30
fukuoka,5
osaka,4
tokyo,14
sendai,1
sapporo,2
itinanghal,12
pampaskong,1
konsiyerto,14
disyembre,71
made,7
twenty,3
transisyon,1
imaheng,3
teenage,1
pangsayaw,2
pati,41
ballad,4
debut,10
lingguhang,3
anim,36
gumamit,17
personal,22
more,3
make,3
me,48
sick,1
naglunsad,2
70,11
pinakamalaking,51
naibigay,4
trak,2
ginamit,63
your,17
color,3
katapusang,5
xbox,2
360,3
ninety,2
nine,4
nights,3
dotch,1
over,10
hedge,3
disponible,1
press,7
banda,18
anyband,4
tatak,29
samsung,1
naglagda,1
kayla,1
xiah,1
tvxq,2
tablo,1
epik,1
high,21
pianistang,1
jazz,8
bora,2
bigyang,3
promosyon,2
face,3
malikhaing,6
kontrol,4
naimpluwensiyahan,4
electro,1
isinama,4
masayang,3
pangunahing,125
sweet,4
impact,1
side,3
bad,4
drive,4
gitarang,1
hangong,1
groovy,1
lose,6
mind,3
patungkol,6
liriko,4
pinagtuunan,1
be,24
samahan,13
aso,5
mayroong,110
inanunsiyo,9
gagawa,7
etiketang,1
sukursal,1
kumperensiyang,5
seoul,7
imperial,3
palace,2
hotel,8
linawin,1
detalye,11
thomas,5
troelsen,1
onlayn,1
ilalabas,8
sana,11
nobyembre,52
halip,28
promosyonal,1
mixes,1
hot,8
play,5
remix,1
tampok,12
flo,4
rida,1
ilimbag,1
kasagsagan,6
